2023-05-12 00:37:17,506 INFO    StreamThr :2523037 [internal.py:wandb_internal():86] W&B internal server running at pid: 2523037, started at: 2023-05-12 00:37:17.505862
2023-05-12 00:37:17,509 DEBUG   HandlerThread:2523037 [handler.py:handle_request():144] handle_request: status
2023-05-12 00:37:17,521 INFO    WriterThread:2523037 [datastore.py:open_for_write():85] open: /home/abdelmajid/workdir/cost-aware-bo/wandb/run-20230512_003717-6zjxtozb/run-6zjxtozb.wandb
2023-05-12 00:37:17,522 DEBUG   SenderThread:2523037 [sender.py:send():375] send: header
2023-05-12 00:37:17,528 DEBUG   SenderThread:2523037 [sender.py:send():375] send: run
2023-05-12 00:37:18,070 ERROR   SenderThread:2523037 [internal_api.py:execute():288] 500 response executing GraphQL.
2023-05-12 00:37:18,070 ERROR   SenderThread:2523037 [internal_api.py:execute():289] {"errors":[{"message":"An internal error occurred. Please contact support.","path":["upsertBucket"]}],"data":{"upsertBucket":null}}
2023-05-12 00:37:19,404 INFO    SenderThread:2523037 [dir_watcher.py:__init__():219] watching files in: /home/abdelmajid/workdir/cost-aware-bo/wandb/run-20230512_003717-6zjxtozb/files
2023-05-12 00:37:19,404 INFO    SenderThread:2523037 [sender.py:_start_run_threads():1124] run started: 6zjxtozb with start time 1683837437.508734
2023-05-12 00:37:19,404 DEBUG   SenderThread:2523037 [sender.py:send_request():402] send_request: summary_record
2023-05-12 00:37:19,406 INFO    SenderThread:2523037 [sender.py:_save_file():1378] saving file wandb-summary.json with policy end
2023-05-12 00:37:19,408 DEBUG   HandlerThread:2523037 [handler.py:handle_request():144] handle_request: check_version
2023-05-12 00:37:19,409 DEBUG   SenderThread:2523037 [sender.py:send_request():402] send_request: check_version
2023-05-12 00:37:19,489 DEBUG   HandlerThread:2523037 [handler.py:handle_request():144] handle_request: run_start
2023-05-12 00:37:19,500 DEBUG   HandlerThread:2523037 [system_info.py:__init__():31] System info init
2023-05-12 00:37:19,500 DEBUG   HandlerThread:2523037 [system_info.py:__init__():46] System info init done
2023-05-12 00:37:19,500 INFO    HandlerThread:2523037 [system_monitor.py:start():181] Starting system monitor
2023-05-12 00:37:19,501 INFO    SystemMonitor:2523037 [system_monitor.py:_start():145] Starting system asset monitoring threads
2023-05-12 00:37:19,501 INFO    HandlerThread:2523037 [system_monitor.py:probe():201] Collecting system info
2023-05-12 00:37:19,502 INFO    SystemMonitor:2523037 [interfaces.py:start():190] Started cpu monitoring
2023-05-12 00:37:19,502 INFO    SystemMonitor:2523037 [interfaces.py:start():190] Started disk monitoring
2023-05-12 00:37:19,503 INFO    SystemMonitor:2523037 [interfaces.py:start():190] Started gpu monitoring
2023-05-12 00:37:19,504 INFO    SystemMonitor:2523037 [interfaces.py:start():190] Started memory monitoring
2023-05-12 00:37:19,505 INFO    SystemMonitor:2523037 [interfaces.py:start():190] Started network monitoring
2023-05-12 00:37:19,650 DEBUG   HandlerThread:2523037 [system_info.py:probe():195] Probing system
2023-05-12 00:37:19,654 DEBUG   HandlerThread:2523037 [system_info.py:_probe_git():180] Probing git
2023-05-12 00:37:19,666 DEBUG   HandlerThread:2523037 [system_info.py:_probe_git():188] Probing git done
2023-05-12 00:37:19,666 DEBUG   HandlerThread:2523037 [system_info.py:probe():240] Probing system done
